STT,ID_cau_VLSP,Nguon_ZH,Tham_chieu_VI,Ban_dich_He_A,Ban_dich_He_B
216,vi-zh-2022-test-0216,古巴《拉美通讯社》（PrensaLatina）赞扬武元甲大将是杰出的军事战略家，巧妙运用人民战争战略。,"Tờ Prensa Latina (Cuba) ca ngợi Đại tướng Võ Nguyên Giáp là một chiến lược gia quân sự lỗi lạc, đã áp dụng một cách tài tình chiến lược chiến tranh nhân dân.","Thông tấn xã Mỹ Latinh của Cuba (Prensa Latina) ca ngợi Đại tướng Võ Nguyên Giáp là một nhà chiến lược quân sự xuất sắc, vận dụng tài tình chiến lược chiến tranh nhân dân.","Tờ Prensa Latina của Cuba ca ngợi Đại tướng Võ Nguyên Giáp là nhà chiến lược quân sự kiệt xuất, khéo léo sử dụng chiến lược chiến tranh nhân dân."
217,vi-zh-2022-test-0217,武元甲大将的知识和军事才华都来自于越南民族抗击外侵史及世界军事历史，也来自于自我锻炼、总结。,"Những kiến thức và tài năng quân sự của Đại tướng Võ Nguyên Giáp đều do tự học từ lịch sử chống giặc ngoại xâm của dân tộc Việt Nam và lịch sử quân sự thế giới cùng sự tự rèn luyện, tự đúc rút kinh nghiệm qua thực tế chiến đấu của Quân đội nhân dân Việt Nam mà nên.","Kiến thức và tài năng quân sự của Đại tướng Võ Nguyên Giáp đều bắt nguồn từ lịch sử chống ngoại xâm của dân tộc Việt Nam và lịch sử quân sự thế giới, cũng như từ quá trình tự rèn luyện và đúc kết.","Kiến thức, tài năng quân sự của Đại tướng Võ Nguyên Giáp đến từ lịch sử chống ngoại xâm của dân tộc Việt Nam và lịch sử quân sự thế giới cũng như từ quá trình tự rèn luyện, tổng kết."
218,vi-zh-2022-test-0218,这就是武元甲大将的独特之处，国际社会因此称赞他是人类历史上最杰出的将领之一及能改变历史走向的少数人之一。,"Chính điều ấy đã làm nên sự khác biệt của Đại tướng Võ Nguyên Giáp, khiến thế giới khâm phục, suy tôn ông là danh tướng, một trong những vị tướng kiệt xuất nhất trong lịch sử nhân loại và là một trong số ít những người có khả năng làm thay đổi dòng chảy lịch sử.","Đây chính là điểm độc đáo của Đại tướng Võ Nguyên Giáp, nhờ đó mà cộng đồng quốc tế ca ngợi ông là một trong những vị tướng kiệt xuất nhất trong lịch sử nhân loại và là một trong số ít người có khả năng thay đổi cục diện lịch sử.",Đây là nét độc đáo của Đại tướng Võ Nguyên Giáp. Cộng đồng quốc tế vì thế ca ngợi ông là một trong những vị tướng kiệt xuất nhất trong lịch sử nhân loại và là một trong số ít người có thể thay đổi hướng đi của lịch sử.
219,vi-zh-2022-test-0219,新加坡被视为美国在该地区最亲密的伙伴，而越南则是值得关注的安全伙伴，也是美国在东南亚最大的贸易伙伴。,"Singapore được coi là đối tác thân cận nhất của Mỹ trong khu vực, còn Việt Nam là đối tác an ninh được quan tâm, cũng là đối tác thương mại lớn nhất của Mỹ ở Đông Nam Á.","Singapore được xem là đối tác thân cận nhất của Mỹ trong khu vực, còn Việt Nam là đối tác an ninh đáng chú ý và là đối tác thương mại lớn nhất của Mỹ tại Đông Nam Á.","Singapore được coi là đối tác thân thiết nhất của Hoa Kỳ trong khu vực, trong khi Việt Nam là đối tác an ninh đáng chú ý và là đối tác thương mại lớn nhất của Hoa Kỳ ở Đông Nam Á."
220,vi-zh-2022-test-0220,在新加坡，哈里斯副总统与李显龙总理举行会晤和联合新闻发布会，重申美国与印度洋-太平洋地区的盟国和伙伴的合作，维护国际秩序。,"Tại Singapore, bà K.Harris có cuộc gặp và họp báo chung với Thủ tướng Lý Hiển Long, tái xác nhận cam kết của Mỹ về việc hợp tác với các đồng minh và đối tác trong khu vực Ấn Độ Dương - Thái Bình Dương để duy trì trật tự quốc tế dựa trên luật lệ và tự do hàng hải, gồm ở Biển Đông.","Tại Singapore, Phó Tổng thống Harris đã có cuộc gặp và họp báo chung với Thủ tướng Lý Hiển Long, tái khẳng định sự hợp tác của Hoa Kỳ với các đồng minh và đối tác trong khu vực Ấn Độ Dương - Thái Bình Dương nhằm duy trì trật tự quốc tế.","Tại Singapore, Phó Tổng thống Harris đã tổ chức cuộc gặp và họp báo chung với Thủ tướng Lý Hiển Long nhằm tái khẳng định sự hợp tác của Mỹ với các đồng minh và đối tác ở khu vực Ấn Độ Dương - Thái Bình Dương nhằm duy trì trật tự quốc tế."
221,vi-zh-2022-test-0221,越南和美国分享共同利益,Việt – Mỹ chia sẻ nhiều lợi ích chung,Việt Nam và Hoa Kỳ có chung lợi ích.,Việt Nam và Hoa Kỳ chia sẻ lợi ích chung
222,vi-zh-2022-test-0222,为展现美国与越南合作应对新冠肺炎疫情的承诺，哈里斯将出席美国疾控中心驻河内办事处的揭牌仪式。,"Để khẳng định cho cam kết hợp tác đối phó với COVID-19, Phó Tổng thống K.Harris sẽ dự lễ khai trương văn phòng CDC Mỹ tại Hà Nội.","Để thể hiện cam kết của Hoa Kỳ và Việt Nam trong việc hợp tác ứng phó với đại dịch COVID-19, bà Harris sẽ tham dự lễ khánh thành văn phòng Trung tâm Kiểm soát và Phòng ngừa Dịch bệnh Hoa Kỳ tại Hà Nội.","Để thể hiện cam kết của Hoa Kỳ và Việt Nam trong hợp tác ứng phó với dịch Covid-19, Harris sẽ tham dự lễ ra mắt văn phòng Trung tâm Kiểm soát và Phòng ngừa Dịch bệnh Hoa Kỳ tại Hà Nội."
223,vi-zh-2022-test-0223,这也是美国与越南在预防公共卫生合作中取得的成果。,Đây cũng là kết quả của sự hợp tác giữa Hoa Kỳ và Việt Nam trong việc phòng chống sức khỏe cộng đồng.,Đây cũng là thành quả hợp tác trong phòng chống y tế công cộng giữa Hoa Kỳ và Việt Nam.,Đây cũng là kết quả của sự hợp tác y tế công cộng phòng ngừa giữa Hoa Kỳ và Việt Nam.
224,vi-zh-2022-test-0224,随着外国投资者涌入越南生产出口到美国的商品，越南也成为从全球供应链转移趋势中受益最多的国家之一。,"Với việc các nhà đầu tư nước ngoài ồ ạt vào Việt Nam để sản xuất hàng hóa xuất khẩu sang Hoa Kỳ, Việt Nam cũng trở thành một trong những quốc gia được hưởng lợi nhiều nhất từ ​​sự chuyển dịch trong chuỗi cung ứng toàn cầu.","Với việc các nhà đầu tư nước ngoài đổ xô vào Việt Nam sản xuất hàng hóa xuất khẩu sang Mỹ, Việt Nam cũng trở thành một trong những quốc gia hưởng lợi nhiều nhất từ xu hướng dịch chuyển chuỗi cung ứng toàn cầu.",Việt Nam cũng trở thành một trong những quốc gia được hưởng lợi nhiều nhất từ ​​sự dịch chuyển chuỗi cung ứng toàn cầu khi các nhà đầu tư nước ngoài đổ xô vào Việt Nam để sản xuất hàng xuất khẩu sang Hoa Kỳ.
225,vi-zh-2022-test-0225,但是，新冠肺炎疫情在一定程度上破坏了供应链，尤其是在机械和技术行业。,"Tuy nhiên, đại dịch COVID-19 đã làm chuỗi cung ứng phần nào bị đứt gãy, đặc biệt là các ngành máy móc, công nghệ.","Tuy nhiên, dịch bệnh COVID-19 đã phần nào làm gián đoạn chuỗi cung ứng, đặc biệt là trong các ngành cơ khí và công nghệ.","Tuy nhiên, đại dịch COVID-19 đã làm gián đoạn chuỗi cung ứng ở một mức độ nào đó, đặc biệt là trong ngành máy móc và công nghệ."
226,vi-zh-2022-test-0226,这表明美国十分重视东南亚地区。,Điều này thể hiện quan điểm nước Mỹ coi trọng khu vực Đông Nam Á.,Điều này cho thấy Hoa Kỳ rất coi trọng khu vực Đông Nam Á.,Điều này cho thấy Mỹ rất coi trọng Đông Nam Á.
227,vi-zh-2022-test-0227,在今天的时事论坛节目里，请听本台记者述评：胡志明主席：民族和时代的道德和智慧典范。,"Trong chương trình diễn đàn Thời sự hôm nay, xin mời quý báo và các bạn cùng nghe phóng viên bình luận: Chủ tịch Hồ Chí Minh: tấm gương đạo đức, trí tuệ cho dân tộc và thời đại.","Trong chương trình thời sự hôm nay, mời quý vị nghe phóng viên đài chúng tôi bình luận: Chủ tịch Hồ Chí Minh: Tấm gương đạo đức và trí tuệ của dân tộc và thời đại.","Trong chương trình diễn đàn thời sự hôm nay, xin mời quý vị nghe phóng viên chúng tôi bình luận: Chủ tịch Hồ Chí Minh: tấm gương đạo đức, trí tuệ cho dân tộc và thời đại."
228,vi-zh-2022-test-0228,出席第42届东盟议会联盟大会具有特别重要的意义，因为这是新一届国会主席王庭惠出席的首次正式多边外交活动。,"AIPA-42 là sự kiện có ý nghĩa đặc biệt quan trọng, là hoạt động đối ngoại đa phương chính thức đầu tiên của Chủ tịch Quốc hội Vương Đình Huệ trong nhiệm kỳ mới.","Việc tham dự Đại hội đồng Liên minh Nghị viện Hiệp hội các Quốc gia Đông Nam Á lần thứ 42 mang ý nghĩa đặc biệt quan trọng, bởi đây là hoạt động ngoại giao đa phương chính thức đầu tiên của Chủ tịch Quốc hội khóa mới Vương Đình Huệ.",Tham dự Đại hội đồng Hiệp hội Liên nghị viện ASEAN lần thứ 42 có ý nghĩa đặc biệt vì đây là sự kiện ngoại giao đa phương chính thức đầu tiên có sự tham dự của tân Chủ tịch Quốc hội Ông Đình Huệ.
229,vi-zh-2022-test-0229,第42届东盟议会联盟大会加强东盟团结克服挑战,AIPA - 42 tăng cường đoàn kết ASEAN và vượt qua các thách thức.,"Đại hội đồng Liên minh Nghị viện Hiệp hội các Quốc gia Đông Nam Á lần thứ 42: Tăng cường đoàn kết ASEAN, vượt qua thách thức",Đại hội đồng Liên minh Nghị viện ASEAN lần thứ 42 tăng cường đoàn kết ASEAN để vượt qua thách thức
230,vi-zh-2022-test-0230,越南为多边议会联盟合作作出积极和负责任的贡献,Việt Nam đóng góp tích cực và có trách nhiệm vào sự hợp tác của liên minh nghị viện đa phương,Việt Nam đóng góp tích cực và có trách nhiệm vào hợp tác của Liên minh Nghị viện Thế giới.,Việt Nam đóng góp tích cực và có trách nhiệm vào hợp tác liên minh liên nghị viện đa phương
231,vi-zh-2022-test-0231,本着凝聚共识和共同努力的精神，第42届东盟议会联盟大会继续强调和弘扬团结精神、及时行动、积极和携手采取有效的防疫措施以及不断向前发展，为地区各国人民的幸福做出努力。,"Trên tinh thần xây dựng sự đồng thuận và cùng làm việc, Hội đồng AIPA lần thứ 42 tiếp tục nhấn mạnh và phát huy tinh thần đoàn kết, hành động kịp thời, tích cực và chung tay thực hiện các biện pháp phòng chống dịch hiệu quả, không ngừng phát triển để góp phần vào hạnh phúc của người dân trong khu vực. Nỗ lực. Dựa trên nỗ lực chung này, hãy tham gia Hội đồng Liên minh Nghị viện ASEAN 26","Với tinh thần đoàn kết và nỗ lực chung, Đại hội đồng Liên minh Nghị viện Hiệp hội các Quốc gia Đông Nam Á lần thứ 42 tiếp tục nhấn mạnh và phát huy tinh thần đoàn kết, hành động kịp thời, chủ động và cùng nhau thực hiện các biện pháp phòng chống dịch hiệu quả, đồng thời không ngừng tiến lên phía trước, nỗ lực vì hạnh phúc của nhân dân các nước trong khu vực.","Trên tinh thần xây dựng sự đồng thuận và cùng nhau làm việc, Đại hội đồng Liên minh Nghị viện ASEAN lần thứ 42 sẽ tiếp tục nhấn mạnh và phát huy tinh thần đoàn kết, hành động kịp thời, chủ động, nỗ lực chung để thực hiện các biện pháp phòng chống dịch hiệu quả, không ngừng phát triển để góp phần mang lại hạnh phúc cho người dân tất cả các nước trong khu vực."
232,vi-zh-2022-test-0232,这个话题受到国际社会的高度关注。,Chủ đề này đã nhận được sự quan tâm lớn của cộng đồng quốc tế.,Chủ đề này nhận được sự quan tâm sâu sắc của cộng đồng quốc tế.,Chủ đề này đã nhận được sự quan tâm lớn của cộng đồng quốc tế.
233,vi-zh-2022-test-0233,越南在会上提出的观点和立场不仅反映了联合国安理会大多数成员国和组织领导人的共同想法，而且还得到了国际舆论和媒体的高度评价。,"Quan điểm và lập trường của Việt Nam tại cuộc họp không chỉ phản ánh ý kiến ​​chung của hầu hết các quốc gia thành viên Hội đồng Bảo an Liên hợp quốc và lãnh đạo các tổ chức, mà còn nhận được sự đánh giá cao của dư luận quốc tế và giới truyền thông.","Quan điểm và lập trường mà Việt Nam đưa ra tại hội nghị không chỉ phản ánh suy nghĩ chung của đa số thành viên Hội đồng Bảo an Liên Hợp Quốc và các nhà lãnh đạo tổ chức, mà còn nhận được sự đánh giá cao từ dư luận và truyền thông quốc tế.","Những quan điểm, lập trường mà Việt Nam đưa ra tại kỳ họp không chỉ phản ánh suy nghĩ chung của đa số các quốc gia thành viên Hội đồng Bảo an Liên hợp quốc và lãnh đạo các tổ chức mà còn nhận được đánh giá cao từ dư luận và truyền thông quốc tế."
234,vi-zh-2022-test-0234,第二，在由联合国协调的区域海上安全机制和倡议体系的基础上制定全球解决方案，以加强信息和经验交流，及时应对全球的共同挑战。,"Thứ hai, cần có giải pháp toàn cầu dựa trên hệ thống các cơ chế, sáng kiến về an ninh biển khu vực do Liên hợp quốc điều phối để tăng cường chia sẻ thông tin, kinh nghiệm, phối hợp hành động, kịp thời ứng phó với các thách thức chung trên toàn cầu.","Thứ hai, xây dựng các giải pháp toàn cầu dựa trên cơ chế và hệ thống sáng kiến an ninh hàng hải khu vực do Liên Hợp Quốc điều phối, nhằm tăng cường trao đổi thông tin và kinh nghiệm, ứng phó kịp thời với các thách thức chung toàn cầu.","Thứ hai, phát triển các giải pháp toàn cầu dựa trên cơ chế an ninh hàng hải khu vực và hệ thống sáng kiến ​​do Liên hợp quốc điều phối nhằm tăng cường trao đổi thông tin, kinh nghiệm và ứng phó kịp thời với các thách thức chung toàn cầu."
235,vi-zh-2022-test-0235,世界高度评价越南对海上安全的观点,Thế giới đánh giá cao quan điểm của Việt Nam về an toàn hàng hải,Thế giới đánh giá cao quan điểm của Việt Nam về an ninh biển.,Thế giới đánh giá cao quan điểm của Việt Nam về an ninh hàng hải
236,vi-zh-2022-test-0236,越南政府总理范明政出席联合国安理会就加强海上安全问题举行的首次高级别讨论会并发表演讲强调包括1982年《联合国海洋法公约》在内的国际法,"Thủ tướng Chính phủ Việt Nam Phạm Minh Chính đã tham dự hội thảo cấp cao đầu tiên do Hội đồng Bảo an Liên hợp quốc tổ chức về vấn đề tăng cường an ninh hàng hải và có bài phát biểu nhấn mạnh luật pháp quốc tế, trong đó có Công ước Liên hợp quốc về Luật Biển năm 1982.","Thủ tướng Chính phủ Việt Nam Phạm Minh Chính đã tham dự và có bài phát biểu tại cuộc thảo luận cấp cao đầu tiên của Hội đồng Bảo an Liên Hợp Quốc về tăng cường an ninh hàng hải, nhấn mạnh luật pháp quốc tế, bao gồm Công ước Liên Hợp Quốc về Luật Biển năm 1982.","Thủ tướng Phạm Minh Chính của Chính phủ Việt Nam đã tham dự phiên thảo luận cấp cao đầu tiên do Hội đồng Bảo an Liên hợp quốc tổ chức về tăng cường an ninh hàng hải và có bài phát biểu nhấn mạnh tầm quan trọng của luật pháp quốc tế, trong đó có Công ước Liên hợp quốc về Luật Biển năm 1982."
237,vi-zh-2022-test-0237,他认为，建立协调机制，鼓励各国遵守1982年《联合国海洋法公约》确立的重要航行权利极为必要。,"Ông tin rằng việc thiết lập một cơ chế phối hợp để khuyến khích các quốc gia tuân thủ các quyền hàng hải quan trọng được thiết lập bởi ""Công ước Liên hợp quốc về Luật Biển năm 1982 là vô cùng cần thiết"".","Ông ấy cho rằng, việc thiết lập cơ chế phối hợp, khuyến khích các quốc gia tuân thủ quyền đi lại quan trọng được quy định trong Công ước Liên Hợp Quốc về Luật Biển năm 1982 là vô cùng cần thiết.",Ông cho rằng việc thiết lập cơ chế phối hợp để khuyến khích các nước tuân thủ các quyền hàng hải quan trọng được xác lập trong Công ước Liên hợp quốc về Luật Biển năm 1982 là vô cùng cần thiết.
238,vi-zh-2022-test-0238,8月12日，俄罗斯权威新闻网Infox.ru发表了欧亚研究基金专家理事会主席格里沃里（GrigoryTrofimchuk）题为《实现海上和平的三个步骤》的文章。,"Vào ngày 12 tháng 8, mạng tin tức có thẩm quyền của Nga Infox.ru đã đăng một bài báo có tựa đề ""Ba bước để đạt được hòa bình trên biển"" của Grigory Trofimchuk, Chủ tịch Hội đồng chuyên gia của Quỹ nghiên cứu Á-Âu.","Ngày 12 tháng 8, trang tin tức uy tín của Nga Infox.ru đã đăng tải bài viết ""Ba bước để đạt được hòa bình trên biển"" của Grigory Trofimchuk, Chủ tịch Hội đồng chuyên gia Quỹ Nghiên cứu Á-Âu.","Vào ngày 12 tháng 8, mạng tin tức có uy tín của Nga Infox.ru đã đăng một bài viết có tựa đề “Ba bước để đạt được hòa bình trên biển” của Grigory Trofimchuk, Chủ tịch Hội đồng Chuyên gia của Quỹ Nghiên cứu Á-Âu."
239,vi-zh-2022-test-0239,海上安全是全球性问题,An ninh biển là vấn đề toàn cầu,An toàn hàng hải là một vấn đề toàn cầu.,An ninh hàng hải là vấn đề toàn cầu
240,vi-zh-2022-test-0240,这种关注具有客观性、因为世界各个海域发生的对传统和非传统安全构成威胁的冲突与日俱增，而世界各国仍未找到有效的解决办法。,"Mối lo ngại này là khách quan, bởi vì những xung đột đe dọa an ninh truyền thống và phi truyền thống ở nhiều vùng biển khác nhau trên thế giới đang gia tăng từng ngày mà các nước trên thế giới vẫn chưa tìm ra giải pháp hữu hiệu.","Sự quan tâm này mang tính khách quan, bởi các xung đột đe dọa an ninh truyền thống và phi truyền thống ngày càng gia tăng ở các vùng biển trên thế giới, trong khi các quốc gia vẫn chưa tìm ra giải pháp hiệu quả.",Lo ngại này là khách quan bởi những xung đột đe dọa an ninh truyền thống và phi truyền thống đang ngày càng gia tăng ở nhiều vùng biển trên thế giới và các quốc gia trên thế giới vẫn chưa tìm được giải pháp hữu hiệu.
241,vi-zh-2022-test-0241,越共中央理论委员会高级专家黄志宝教授、博士说：“1945年八月革命是民族大团结的典型例子。,"Giáo sư Hoàng Chí Bảo, chuyên gia cao cấp của Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam cho rằng: “Cách mạng Tháng Tám năm 1945 là một điển hình về đoàn kết dân tộc.","Giáo sư, Tiến sĩ Hoàng Chí Bảo, chuyên gia cao cấp của Hội đồng Lý luận Trung ương Đảng Cộng sản Việt Nam, cho biết: ""Cách mạng tháng Tám năm 1945 là một ví dụ điển hình về đại đoàn kết dân tộc.""","Giáo sư, Tiến sĩ Hoàng Chi Bảo, chuyên gia cao cấp của Ban lý luận Trung ương Đảng Cộng sản Việt Nam, cho biết: “Cách mạng tháng Tám năm 1945 là tấm gương điển hình về đại đoàn kết toàn dân tộc."
242,vi-zh-2022-test-0242,1945年八月革命的伟大胜利留下了很多宝贵范例，特别是从那年秋天开始的越南民族发展历史上以人民为本，建设和发挥全民大团结力量的范例。,"Thắng lợi vĩ đại của Cách mạng Tháng Tám năm 1945 đã để lại nhiều tấm gương quý báu, đặc biệt là tấm gương hướng về nhân dân, xây dựng và phát huy sức mạnh đại đoàn kết toàn dân trong lịch sử phát triển dân tộc Việt Nam bắt đầu từ mùa thu năm ấy.","Thắng lợi vĩ đại của Cách mạng tháng Tám năm 1945 đã để lại nhiều bài học quý báu, đặc biệt là bài học về xây dựng và phát huy sức mạnh đại đoàn kết toàn dân, lấy dân làm gốc trong lịch sử phát triển của dân tộc Việt Nam, bắt đầu từ mùa thu năm đó.","Thắng lợi vĩ đại của Cách mạng Tháng Tám năm 1945 đã để lại nhiều tấm gương quý giá, đặc biệt là tấm gương hướng tới nhân dân về xây dựng và phát huy sức mạnh đoàn kết dân tộc trong lịch sử phát triển đất nước Việt Nam bắt đầu từ mùa thu năm đó."
243,vi-zh-2022-test-0243,及时行动,Hành động kịp thời,Hành động kịp thời,Hành động kịp thời
244,vi-zh-2022-test-0244,国家主席向15届任期政府成员颁发任命书两天后，范明政于7月30日主持政府与各地方视频会议，讨论防疫问题。,"Chỉ 2 ngày sau khi Chủ tịch nước trao quyết định bổ nhiệm cho các thành viên chính phủ nhiệm kỳ khóa XV, ngày 30/7, Thủ tướng Phạm Minh Chính đã chủ trì Hội nghị trực tuyến Chính phủ với các địa phương về tình hình phòng, chống dịch COVID-19.","Hai ngày sau khi Chủ tịch nước trao quyết định bổ nhiệm cho các thành viên chính phủ nhiệm kỳ 15, ngày 30 tháng 7, Phạm Minh Chính đã chủ trì hội nghị trực tuyến của Chính phủ với các địa phương để thảo luận về công tác phòng chống dịch bệnh.","Hai ngày sau khi tổng thống ban hành thư bổ nhiệm các thành viên chính phủ nhiệm kỳ 15, Fan Mingzheng đã chủ trì cuộc họp trực tuyến giữa chính phủ và chính quyền địa phương vào ngày 30/7 để thảo luận về các vấn đề phòng chống dịch bệnh."
245,vi-zh-2022-test-0245,随后政府立即颁布防疫相关决议，以便各部门、各地方主动采取防疫措施。,"Chính phủ đã ngay lập tức ban hành các nghị quyết liên quan về phòng chống dịch để các ban ngành, địa phương chủ động các biện pháp chống dịch.","Sau đó, chính phủ đã ngay lập tức ban hành các nghị quyết liên quan đến phòng chống dịch bệnh để các ban ngành và địa phương chủ động triển khai các biện pháp phòng dịch.","Sau đó, Chính phủ đã ngay lập tức ban hành các nghị quyết liên quan về phòng chống dịch để các sở, ngành, địa phương chủ động thực hiện các biện pháp phòng chống dịch."
246,vi-zh-2022-test-0246,舆论认为，决议颁布及时，紧紧围绕当前各项问题，提出各项切实措施。,"Dư luận cho rằng nghị quyết được ban hành kịp thời, đi sâu vào các vấn đề thời sự, có nhiều biện pháp thiết thực.","Dư luận cho rằng nghị quyết được ban hành kịp thời, bám sát các vấn đề hiện tại và đề ra các biện pháp thiết thực.","Dư luận cho rằng nghị quyết được ban hành kịp thời, tập trung sát vấn đề thời sự, đề ra nhiều giải pháp thiết thực."
247,vi-zh-2022-test-0247,关于新冠疫苗政策，决议重申，疫苗是越南控制疫情的关键。,"Về chính sách vắc xin mới, nghị quyết nhắc lại rằng vắc xin là chìa khóa để Việt Nam kiểm soát dịch bệnh.","Về chính sách vắc xin phòng COVID-19, nghị quyết tái khẳng định vắc xin là yếu tố then chốt để Việt Nam kiểm soát dịch bệnh.","Về chính sách vắc xin ngừa Covid-19, nghị quyết nhắc lại vắc xin là chìa khóa để kiểm soát dịch bệnh ở Việt Nam."
248,vi-zh-2022-test-0248,范明政也主持与正实施社交距离措施各省市的视频会议，发起“全国同心协力竞赛防疫，战胜疫情”特别竞赛运动。,"Thủ tướng Phạm Minh Chính cũng chủ trì các cuộc họp trực tuyến với các tỉnh và thành phố đang thực hiện các biện pháp giãn cách xã hội, và phát động một chiến dịch đặc biệt mang tên ""Toàn dân Chung tay Ngăn chặn và Vượt qua Đại dịch"".","Phạm Minh Chính cũng chủ trì hội nghị trực tuyến với các tỉnh, thành phố đang thực hiện các biện pháp giãn cách xã hội, phát động phong trào thi đua đặc biệt ""Cả nước đồng lòng phòng chống dịch, chiến thắng đại dịch"".","Fan Mingzheng cũng đã tổ chức hội nghị truyền hình với các tỉnh, thành phố đang thực hiện các biện pháp giãn cách xã hội, đồng thời phát động chiến dịch cạnh tranh đặc biệt mang tên “Hòa nhạc toàn quốc phòng chống và đánh bại dịch bệnh”."
249,vi-zh-2022-test-0249,为减轻正实施社交距离措施各地居民的困难，范明政同意削减居民和企业用电费用。,"Để giảm bớt khó khăn của người dân ở nhiều nơi đang thực hiện các biện pháp giãn cách xã hội,Thủ tướng Phạm Minh Chính đã đồng ý cắt giảm chi phí điện cho người dân và doanh nghiệp.","Để giảm bớt khó khăn cho người dân ở những nơi đang thực hiện các biện pháp giãn cách xã hội, Phạm Minh Chính đã đồng ý giảm chi phí điện sinh hoạt và sản xuất cho người dân và doanh nghiệp.","Để giảm bớt những khó khăn mà người dân phải đối mặt ở nhiều nơi đang thực hiện các biện pháp giãn cách xã hội, Fan Mingzheng đã đồng ý giảm hóa đơn tiền điện cho người dân và doanh nghiệp."
250,vi-zh-2022-test-0250,社会民生专家莫文进表示：“这笔资金很及时，很迫切。,"Mạc Văn Tấn một chuyên gia về xã hội và sinh kế của người dân, cho biết: “Nguồn tài trợ này là kịp thời và cấp bách.","Chuyên gia xã hội và dân sinh Mạc Văn Tiến cho biết: ""Khoản tiền này rất kịp thời và cấp bách.""","Mo Wenjin, chuyên gia xã hội và sinh kế, cho biết: “Khoản tài trợ này là kịp thời và cấp bách."
251,vi-zh-2022-test-0251,15届政府决心建设革新、廉政、行动、高效、为人民服务的政府”。,"Chính phủ thứ 15 quyết tâm xây dựng chính phủ kiến tạo, trong sạch, hành động, hiệu quả, phục vụ nhân dân "".","Chính phủ khóa 15 quyết tâm xây dựng một chính phủ đổi mới, liêm chính, hành động, hiệu quả và phục vụ nhân dân.","Chính phủ nhiệm kỳ 15 quyết tâm xây dựng một chính phủ sáng tạo, trong sạch, khả thi, hiệu quả và phục vụ nhân dân”."
252,vi-zh-2022-test-0252,政府也加快体制完善工作，为经济社会顺畅运转创造条件。,Chính phủ cũng đang đẩy mạnh hoàn thiện hệ thống nhằm tạo điều kiện cho nền kinh tế - xã hội vận hành trơn tru.,"Chính phủ cũng đẩy nhanh công tác hoàn thiện thể chế, tạo điều kiện cho kinh tế xã hội vận hành thông suốt.","Chính phủ cũng đẩy mạnh công tác hoàn thiện hệ thống nhằm tạo điều kiện cho nền kinh tế, xã hội vận hành thông suốt."
253,vi-zh-2022-test-0253,当天，塔利班政治发言人纳伊姆发表声明，承诺塔利班将尽早确定阿富汗政府类型和制度形式。,"Cùng ngày, phát ngôn viên chính trị của Taliban, Naim, đã đưa ra một tuyên bố, hứa rằng Taliban sẽ xác định loại chính phủ và hình thức thể chế của Afghanistan trong thời gian sớm nhất.","Ngày hôm đó, người phát ngôn chính trị của Taliban, Naeem, đã đưa ra tuyên bố, cam kết Taliban sẽ sớm xác định loại hình chính phủ và hình thức chế độ của Afghanistan.","Cùng ngày, người phát ngôn chính trị của Taliban Naeem đã đưa ra một tuyên bố, hứa rằng Taliban sẽ xác định loại hình và hình thức thể chế của chính phủ Afghanistan càng sớm càng tốt."
254,vi-zh-2022-test-0254,8月16日，阿富汗总统加尼正式承认其政府垮台，强调他离开该国是为了避免发生血腥冲突。,"Ngày 16/8, Tổng thống Afghanistan Ghani chính thức thừa nhận sự sụp đổ của chính phủ, nhấn mạnh rằng ông rời khỏi đất nước để tránh xung đột đẫm máu.","Ngày 16 tháng 8, Tổng thống Afghanistan Ghani chính thức thừa nhận sự sụp đổ của chính phủ, nhấn mạnh rằng ông rời khỏi đất nước là để tránh xung đột đẫm máu.","Ngày 16/8, Tổng thống Afghanistan Ghani chính thức thừa nhận sự sụp đổ của chính phủ và nhấn mạnh việc ông rời đất nước để tránh xung đột đẫm máu."
255,vi-zh-2022-test-0255,加尼还指控塔利班对该国的民主进程进行武力抵抗。,Ghani cũng cáo buộc Taliban có vũ trang chống lại tiến trình dân chủ của đất nước.,Ghani cũng cáo buộc Taliban dùng vũ lực chống lại tiến trình dân chủ của đất nước.,Ghani cũng cáo buộc Taliban thực hiện cuộc kháng chiến vũ trang chống lại tiến trình dân chủ của đất nước.
256,vi-zh-2022-test-0256,特别是，塔利班承诺，新政府成员将包括该组织以外的人物，尊重妇女和少数民族的权利，以及伊斯兰教法框架内的言论自由。,"Đặc biệt, Taliban hứa rằng các thành viên của chính phủ mới sẽ bao gồm những người bên ngoài tổ chức, tôn trọng quyền của phụ nữ và dân tộc thiểu số, và tự do ngôn luận trong khuôn khổ luật Hồi giáo.","Đặc biệt, Taliban cam kết các thành viên chính phủ mới sẽ bao gồm những nhân vật ngoài tổ chức, tôn trọng quyền phụ nữ và dân tộc thiểu số, cũng như quyền tự do ngôn luận trong khuôn khổ luật Sharia.","Đặc biệt, Taliban hứa rằng chính phủ mới sẽ bao gồm các nhân vật bên ngoài nhóm và tôn trọng quyền của phụ nữ và người thiểu số, cũng như quyền tự do ngôn luận trong khuôn khổ luật Sharia."
